Entry,Gene Names,Protein families
P13482,treA osmA b1197 JW1186,Glycosyl hydrolase 37 family
P13518,csrD yhdA b3252 JW3221,
P13656,chiA yheB b3338 JW3300,"Glycosyl hydrolase 18 family, Chitinase class II subfamily"
P13738,nhaA ant b0019 JW0018,NhaA Na(+)/H(+) (TC 2.A.33) antiporter family
P14081,selB fdhA b3590 JW3563,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, SelB subfamily"
P14175,proV b2677 JW2652,ABC transporter superfamily
P14176,proW b2678 JW2653,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P14294,topB b1763 JW1752,Type IA topoisomerase family
P14375,zraR hydG b4004 JW3968,
P14377,zraS hydH b4003 JW3967,
P14407,fumB b4122 JW4083,Class-I fumarase family
P14565,traI ECOK12F104,
P14900,murD b0088 JW0086,MurCDEF family
P15005,mcrB rglB b4346 JW5871,
P15028,fecB b4290 JW4250,Bacterial solute-binding protein 8 family
P15029,fecD b4288 JW4248,"Binding-protein-dependent transport system permease family, FecCD subfamily"
P15030,fecC b4289 JW4249,"Binding-protein-dependent transport system permease family, FecCD subfamily"
P15034,pepP b2908 JW2876,Peptidase M24B family
P15042,ligA dnaL lig lop pdeC b2411 JW2403,"NAD-dependent DNA ligase family, LigA subfamily"
P15043,recQ b3822 JW5855,"Helicase family, RecQ subfamily"
P15047,entA b0596 JW0588,Short-chain dehydrogenases/reductases (SDR) family
P15067,glgX glyX b3431 JW3394,Glycosyl hydrolase 13 family
P15254,purL purI b2557 JW2541,FGAMS family
P15288,pepD pepH b0237 JW0227,Peptidase M20C family
P15373,prlF sohA b3129 JW3098,
P15640,purD b4005 JW3969,GARS family
P15723,dgt b0160 JW0156,"DGTPase family, Type 1 subfamily"
P15770,aroE b3281 JW3242,Shikimate dehydrogenase family
P15877,gcd b0124 JW0120,Bacterial PQQ dehydrogenase family
P15993,aroP b0112 JW0108,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P16384,miaA trpX b4171 JW4129,IPP transferase family
P16456,selD fdhB b1764 JW1753,"Selenophosphate synthase 1 family, Class I subfamily"
P16528,iclR b4018 JW3978,
P16659,proS drpA b0194 JW0190,"Class-II aminoacyl-tRNA synthetase family, ProS type 1 subfamily"
P16686,phnH b4100 JW4061,PhnH family
P16687,phnI b4099 JW4060,PhnI family
P16688,phnJ b4098 JW4059,PhnJ family
P16692,phnP b4092 JW4053,
P16703,cysM b2421 JW2414,Cysteine synthase/cystathionine beta-synthase family
P16869,fhuE b1102 JW1088,TonB-dependent receptor family
P16926,mreC b3250 JW3219,MreC family
P17109,menD b2264 JW5374,"TPP enzyme family, MenD subfamily"
P17115,gutQ srlQ b2708 JW5431,"SIS family, GutQ/KpsF subfamily"
P17117,nfsA mda18 mdaA ybjB b0851 JW0835,Flavin oxidoreductase frp family
P17169,glmS b3729 JW3707,
P17411,chbF celF ydjD b1734 JW1723,Glycosyl hydrolase 4 family
P17443,murG b0090 JW0088,"Glycosyltransferase 28 family, MurG subfamily"
P17444,betA b0311 JW0303,GMC oxidoreductase family
P17445,betB b0312 JW0304,Aldehyde dehydrogenase family
P17846,cysI b2763 JW2733,Nitrite and sulfite reductase 4Fe-4S domain family
P17854,cysH b2762 JW2732,"PAPS reductase family, CysH subfamily"
P17888,priA srgA b3935 JW3906,"Helicase family, PriA subfamily"
P17952,murC b0091 JW0089,MurCDEF family
P17993,ubiG pufX yfaB b2232 JW2226,"Methyltransferase superfamily, UbiG/COQ3 family"
P18196,minC b1176 JW1165,MinC family
P18200,pgpA yajN b0418 JW0408,
P18335,argD dapC dtu b3359 JW3322,"Class-III pyridoxal-phosphate-dependent aminotransferase family, ArgD subfamily"
P18775,dmsA b0894 JW5118,Prokaryotic molybdopterin-containing oxidoreductase family
P18776,dmsB b0895 JW0878,
P18843,nadE efg ntrL b1740 JW1729,NAD synthetase family
P18956,ggt b3447 JW3412,Gamma-glutamyltransferase family
P19318,narY b1467 JW1462,
P19319,narZ b1468 JW1463,Prokaryotic molybdopterin-containing oxidoreductase family
P19624,pdxA b0052 JW0051,PdxA family
P19636,eutC b2440 JW2433,EutC family
P19925,entD b0583 JW5085,"P-Pant transferase superfamily, EntD family"
P19926,agp b1002 JW0987,Histidine acid phosphatase family
P19934,tolA cim excC lky b0739 JW0729,TolA family
P20083,parE nfxD b3030 JW2998,"Type II topoisomerase family, ParE type 1 subfamily"
P20966,fruA ptsF b2167 JW2154,
P21151,fadA oldA b3845 JW5578,"Thiolase-like superfamily, Thiolase family"
P21156,cysD b2752 JW2722,"PAPS reductase family, CysD subfamily"
P21165,pepQ b3847 JW3823,"Peptidase M24B family, Bacterial-type prolidase subfamily"
P21170,speA b2938 JW2905,"Orn/Lys/Arg decarboxylase class-II family, SpeA subfamily"
P21177,fadB oldB b3846 JW3822,Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family
P21179,katE b1732 JW1721,"Catalase family, HPII subfamily"
P21338,rna rnsA b0611 JW0603,RNase T2 family
P21369,pncA nam ydjB b1768 JW1757,Isochorismatase family
P21437,yggF yggK b2930 JW2897,FBPase class 2 family
P21499,rnr vacB yjeC b4179 JW5741,"RNR ribonuclease family, RNase R subfamily"
P21507,srmB rbaB rhlA b2576 JW2560,"DEAD box helicase family, SrmB subfamily"
P21513,rne ams hmp1 b1084 JW1071,"RNase E/G family, RNase E subfamily"
P21514,pdeL yahA b0315 JW0307,
P21599,pykA b1854 JW1843,Pyruvate kinase family
P21645,lpxD firA omsA b0179 JW0174,"Transferase hexapeptide repeat family, LpxD subfamily"
P21693,dbpA b1343 JW1337,"DEAD box helicase family, DbpA subfamily"
P21829,ybhA b0766 JW0749,"HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"
P21865,kdpD b0695 JW0683,Universal stress protein A family
P21888,cysS b0526 JW0515,Class-I aminoacyl-tRNA synthetase family
P22106,asnB b0674 JW0660,Asparagine synthetase family
P22188,murE b0085 JW0083,"MurCDEF family, MurE subfamily"
P22255,cysQ amtA b4214 JW4172,"Inositol monophosphatase superfamily, CysQ family"
P22256,gabT b2662 JW2637,Class-III pyridoxal-phosphate-dependent aminotransferase family
P22259,pckA pck b3403 JW3366,Phosphoenolpyruvate carboxykinase (ATP) family
P22333,add b1623 JW1615,"Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, Adenosine deaminase subfamily"
P22523,mukB b0924 JW0907,"SMC family, MukB subfamily"
P22525,ycbB b0925 JW0908,YkuD family
P22564,rihC yaaF b0030 JW0028,"IUNH family, RihC subfamily"
P22634,murI dga glr yijA b3967 JW5550,Aspartate/glutamate racemases family
P22729,livM b3456 JW3421,"Binding-protein-dependent transport system permease family, LivHM subfamily"
P22731,livF b3454 JW3419,ABC transporter superfamily
P23003,trmA b3965 JW3937,"Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family, TrmA subfamily"
P23256,malY b1622 JW1614,"Class-II pyridoxal-phosphate-dependent aminotransferase family, MalY/PatB cystathionine beta-lyase subfamily"
P23367,mutL b4170 JW4128,DNA mismatch repair MutL/HexB family
P23484,fecI b4293 JW4253,"Sigma-70 factor family, ECF subfamily"
P23522,garL yhaF b3126 JW3095,"HpcH/HpaI aldolase family, KDGluc aldolase subfamily"
P23538,ppsA pps b1702 JW1692,PEP-utilizing enzyme family
P23721,serC pdxC pdxF b0907 JW0890,"Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"
P23827,eco eti b2209 JW2197,Protease inhibitor I11 (ecotin) family
P23830,pssA pss b2585 JW2569,CDP-alcohol phosphatidyltransferase class-II family
P23836,phoP b1130 JW1116,
P23837,phoQ b1129 JW1115,
P23843,oppA b1243 JW1235,Bacterial solute-binding protein 5 family
P23845,cysN b2751 JW2721,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, CysN/NodQ subfamily"
P23847,dppA b3544 JW3513,Bacterial solute-binding protein 5 family
P23857,pspE b1308 JW1301,
P23862,priC b0467 JW0456,
P23865,prc tsp b1830 JW1819,Peptidase S41A family
P23872,aes ybaC b0476 JW0465,'GDXG' lipolytic enzyme family
P23873,hipB b1508 JW1501,
P23874,hipA b1507 JW1500,HipA Ser/Thr kinase family
P23882,fmt yhdD b3288 JW3249,Fmt family
P23883,puuC aldH b1300 JW1293,Aldehyde dehydrogenase family
P23886,cydC mdrA mdrH surB b0886 JW0869,"ABC transporter superfamily, Cysteine exporter (TC 3.A.1.129.1) family"
P23890,cadC b4133 JW4094,
P23893,hemL gsa popC b0154 JW0150,"Class-III pyridoxal-phosphate-dependent aminotransferase family, HemL subfamily"
P23894,htpX b1829 JW1818,Peptidase M48B family
P23895,emrE eb mvrC b0543 JW0531,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family"
P23908,argE b3957 JW3929,"Peptidase M20A family, ArgE subfamily"
P23909,mutS fdv b2733 JW2703,DNA mismatch repair MutS family
P23930,lnt cutE b0657 JW0654,"CN hydrolase family, Apolipoprotein N-acyltransferase subfamily"
P24082,traN ECOK12F089,
P24171,dcp b1538 JW1531,Peptidase M3 family
P24173,waaC rfa-2 rfaC yibC b3621 JW3596,Glycosyltransferase 9 family
P24177,acrD yffA b2470 JW2454,Resistance-nodulation-cell division (RND) (TC 2.A.6) family
P24182,accC fabG b3256 JW3224,
P24183,fdnG b1474 JW1470,Prokaryotic molybdopterin-containing oxidoreductase family
P24186,folD ads b0529 JW0518,Tetrahydrofolate dehydrogenase/cyclohydrolase family
P24188,trhO yceA b1055 JW1042,TrhO family
P24192,hypD b2729 JW2699,HypD family
P24193,hypE b2730 JW2700,HypE family
P24203,yjiA b4352 JW5790,"SIMIBI class G3E GTPase family, ZNG1 subfamily"
P24205,lpxM msbB b1855 JW1844,"LpxL/LpxM/LpxP family, LpxM subfamily"
P24207,pheP b0576 JW0565,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P24215,uxuA b4322 JW4285,Mannonate dehydratase family
P24224,acpS dpj b2563 JW2547,"P-Pant transferase superfamily, AcpS family"
P24228,dacB b3182 JW3149,Peptidase S13 family
P24230,recG radC spoV b3652 JW3627,"Helicase family, RecG subfamily"
P24232,hmp fsrB hmpA b2552 JW2536,"Globin family, Two-domain flavohemoproteins subfamily; Flavoprotein pyridine nucleotide cytochrome reductase family"
P24554,radA sms b4389 JW4352,"RecA family, RadA subfamily"
P25397,tehB b1430 JW1426,TehB family
P25437,frmA adhC b0356 JW0347,"Zinc-containing alcohol dehydrogenase family, Class-III subfamily"
P25516,acnA acn b1276 JW1268,Aconitase/IPM isomerase family
P25519,hflX b4173 JW4131,"TRAFAC class OBG-HflX-like GTPase superfamily, HflX GTPase family"
P25522,mnmE thdF trmE b3706 JW3684,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family"
P25524,codA b0337 JW0328,"Metallo-dependent hydrolases superfamily, Cytosine deaminase family"
P25526,gabD b2661 JW2636,Aldehyde dehydrogenase family
P25527,gabP b2663 JW2638,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P25534,ubiH visB b2907 JW2875,UbiH/COQ6 family
P25535,ubiI visC b2906 JW2874,UbiH/COQ6 family
P25536,yhdE b3248 JW3217,"Maf family, YhdE subfamily"
P25539,ribD ribG ybaE b0414 JW0404,Cytidine and deoxycytidylate deaminase family; HTP reductase family
P25552,gppA gpp b3779 JW5603,"GppA/Ppx family, GppA subfamily"
P25553,aldA ald b1415 JW1412,Aldehyde dehydrogenase family
P25665,metE b3829 JW3805,Vitamin-B12 independent methionine synthase family
P25714,yidC b3705 JW3683,"OXA1/ALB3/YidC family, Type 1 subfamily"
P25718,malS b3571 JW3543,Glycosyl hydrolase 13 family
P25737,lysP cadR b2156 JW2143,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P25740,waaG pcsA rfaG b3631 JW3606,"Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily"
P25745,mnmA asuE trmU ycfB b1133 JW1119,MnmA/TRMU family
P25888,rhlE b0797 JW0781,"DEAD box helicase family, RhlE subfamily"
P25889,preA yeiA b2147 JW2134,Dihydropyrimidine dehydrogenase family
P25894,loiP yggG b2936 JW2903,Peptidase M48B family
P26458,appB cbdB cyxB b0979 JW0961,Cytochrome ubiquinol oxidase subunit 2 family
P26459,appC cbdA cyxA b0978 JW0960,Cytochrome ubiquinol oxidase subunit 1 family
P26602,ubiC b4039 JW5713,UbiC family
P26616,maeA sfcA b1479 JW5238,Malic enzymes family
P26648,ftsP sufI b3017 JW2985,FtsP family
P27125,rhaT b3907 JW3878,L-rhamnose transporter (TC 2.A.7.6) family
P27128,waaO rfaI b3627 JW3602,Glycosyltransferase 8 family
P27243,waaL rfaL b3622 JW3597,
P27249,glnD b0167 JW0162,GlnD family
P27250,ahr yjgB b4269 JW5761,Zinc-containing alcohol dehydrogenase family
P27278,nadR nadI b4390 JW5800,Bacterial NMN adenylyltransferase family; Bacterial RNK family
P27296,dinG rarB b0799 JW0784,"Helicase family, DinG subfamily, Type 1 sub-subfamily"
P27302,tktA tkt b2935 JW5478,Transketolase family
P27303,emrA b2685 JW2660,Membrane fusion protein (MFP) (TC 8.A.1) family
P27306,sthA sth udhA b3962 JW5551,Class-I pyridine nucleotide-disulfide oxidoreductase family
P27431,roxA ycfD b1128 JW1114,"ROX family, RoxA/YcfD subfamily"
P27434,rodZ yfgA b2516 JW2500,RodZ family
P27550,acs yfaC b4069 JW4030,ATP-dependent AMP-binding enzyme family
P27828,wecB nfrC rffE yifF b3786 JW5600,UDP-N-acetylglucosamine 2-epimerase family
P27829,wecC rffD b3787 JW5599,"UDP-glucose/GDP-mannose dehydrogenase family, WecC subfamily"
P27830,rffG b3788 JW5598,"NAD(P)-dependent epimerase/dehydratase family, dTDP-glucose dehydratase subfamily"
P27833,wecE rffA yifI b3791 JW3765,DegT/DnrJ/EryC1 family
P27837,thrP yifK b3795 JW5595,Amino acid-polyamine-organocation (APC) superfamily
P27838,cyaY b3807 JW3779,Frataxin family
P27848,yigL b3826 JW5854,"HAD-like hydrolase superfamily, Cof family"
P27859,tatD mttC yigW yigX b4483 JW5931,"Metallo-dependent hydrolases superfamily, TatD-type hydrolase family, TatD subfamily"
P28246,bcr bicA bicR sur suxA b2182 JW5363,"Major facilitator superfamily, Bcr/CmlA family"
P28248,dcd dus paxA b2065 JW2050,DCTP deaminase family
P28305,pabC b1096 JW1082,Class-IV pyridoxal-phosphate-dependent aminotransferase family
P28306,mltG yceG b1097 JW1083,Transglycosylase MltG family
P28629,adiA adi b4117 JW5731,Orn/Lys/Arg decarboxylase class-I family
P28630,holA b0640 JW0635,DNA polymerase HolA subunit family
P28631,holB b1099 JW1085,
P28632,holD b4372 JW4334,DNA polymerase III psi/HolD chain family
P28861,fpr mvrA b3924 JW3895,Ferredoxin--NADP reductase type 1 family
P28903,nrdD b4238 JW4197,Anaerobic ribonucleoside-triphosphate reductase family
P28905,holC b4259 JW4216,DNA polymerase III chi/HolC chain family
P29018,cydD htrD b0887 JW0870,"ABC transporter superfamily, Cysteine exporter (TC 3.A.1.129.1) family"
P29131,ftsN msgA b3933 JW3904,FtsN family
P29745,pepT b1127 JW1113,Peptidase M20B family
P30011,nadC b0109 JW0105,NadC/ModD family
P30014,rnt b1652 JW1644,RNase T family
P30125,leuB b0073 JW5807,"Isocitrate and isopropylmalate dehydrogenases family, LeuB type 1 subfamily"
P30131,hypF hydA b2712 JW5433,Carbamoyltransferase HypF family
P30138,thiF b3992 JW3956,HesA/MoeB/ThiF family
P30139,thiG b3991 JW5549,ThiG family
P30140,thiH b3990 JW3953,"Radical SAM superfamily, ThiH family"
P30147,hyi gip ybbG b0508 JW0496,Hyi family
P30176,ybiA b0798 JW0783,YbiA family
P30178,hcxB ybiC b0801 JW0786,LDH2/MDH2 oxidoreductase family
P30745,moaA bisA chlA chlA1 narA b0781 JW0764,"Radical SAM superfamily, MoaA family"
P30748,moaD chlA4 chlM b0784 JW0767,MoaD family
P30749,moaE chlA5 b0785 JW0768,MoaE family
P30750,metN abc b0199 JW0195,"ABC transporter superfamily, Methionine importer (TC 3.A.1.24) family"
P30844,basS pmrB b4112 JW4073,
P30847,baeS b2078 JW2063,
P30850,rnb b1286 JW1279,"RNR ribonuclease family, RNase II subfamily"
P30855,evgS b2370 JW2367,
P30870,glnE b3053 JW3025,GlnE family
P30958,mfd b1114 JW1100,"UvrB family; Helicase family, RecG subfamily"
P31057,panB b0134 JW0130,PanB family
P31069,kch b1250 JW1242,Potassium channel family
P31119,aas b2836 JW2804,2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family
P31120,glmM mrsA yhbF b3176 JW3143,Phosphohexose mutase family
P31129,dgcZ ydeG ydeH b1535 JW1528,
P31133,potF b0854 JW0838,Bacterial solute-binding protein PotD/PotF family
P31134,potG b0855 JW5818,ABC transporter superfamily
P31142,sseA b2521 JW2505,
P31224,acrB acrE b0462 JW0451,Resistance-nodulation-cell division (RND) (TC 2.A.6) family
P31460,dgoR yidW b4479 JW5627,
P31466,adeP purP yieG b3714 JW3692,"Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family, Azg-like subfamily"
P31473,ravA yieN b3746 JW3725,RavA family
P31545,efeB ycdB b1019 JW1004,"DyP-type peroxidase family, EfeB subfamily"
P31547,metI yaeE b0198 JW0194,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P31550,thiB tbpA yabL b0068 JW0067,Bacterial solute-binding protein 1 family
P31551,caiD yaaL b0036 JW0035,Enoyl-CoA hydratase/isomerase family
P31552,caiC yaaM b0037 JW0036,ATP-dependent AMP-binding enzyme family
P31553,caiT yaaP b0040 JW0039,"BCCT transporter (TC 2.A.15) family, CaiT subfamily"
P31554,lptD imp ostA yabG b0054 JW0053,LptD family
P31572,caiB yaaN b0038 JW0037,"CoA-transferase III family, CaiB subfamily"
P31658,hchA yedU yzzC b1967 JW1950,"Peptidase C56 family, HchA subfamily"
P31660,prpC yahS yzzD b0333 JW0324,Citrate synthase family
P31663,panC b0133 JW0129,Pantothenate synthetase family
P31667,rpnA yhgA b3411 JW3374,Rpn/YhgA-like nuclease family
P31677,otsA b1896 JW5312,Glycosyltransferase 20 family
P31678,otsB b1897 JW1886,Trehalose phosphatase family
P31806,nnr yjeF b4167 JW4125,NnrE/AIBP family; NnrD/CARKD family
P31979,nuoF b2284 JW2279,Complex I 51 kDa subunit family
P31992,pptA ydcE b1461 JW1456,"4-oxalocrotonate tautomerase family, PptA subfamily"
P32055,fcl wcaG yefB b2052 JW2037,"NAD(P)-dependent epimerase/dehydratase family, Fucose synthase subfamily"
P32056,gmm nudD wcaH yefC b2051 JW5335,Nudix hydrolase family
P32099,lplA yjjF b4386 JW4349,LplA family
P32131,hemN yihJ b3867 JW3838,Anaerobic coproporphyrinogen-III oxidase family
P32138,yihQ squQ b3878 JW3849,Glycosyl hydrolase 31 family
P32140,yihS b3880 JW5569,N-acylglucosamine 2-epimerase family
P32143,yihV b3883 JW5568,Carbohydrate kinase PfkB family
P32156,rhaM yiiL b3901 JW3872,Rhamnose mutarotase family
P32166,menA yiiW b3930 JW3901,"MenA family, Type 1 subfamily"
P32169,rhaD rhuA b3902 JW3873,"Aldolase class II family, RhaD subfamily"
P32170,rhaA b3903 JW5561,Rhamnose isomerase family
P32171,rhaB b3904 JW3875,Rhamnulokinase family
P32173,mobA chlB mob narB b3857 JW3829,MobA family
P32176,fdoG b3894 JW3865,Prokaryotic molybdopterin-containing oxidoreductase family
P32177,fdhD b3895 JW3866,FdhD family
P32662,gph yhfE b3385 JW3348,"HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"
P32664,nudC yjaD b3996 JW5548,"Nudix hydrolase family, NudC subfamily"
P32684,rluF yjbC b4022 JW3982,Pseudouridine synthase RsuA family
P32695,dusA yjbN b4049 JW5950,"Dus family, DusA subfamily"
P32705,actP yjcG b4067 JW4028,Sodium:solute symporter (SSF) (TC 2.A.21) family
P32717,yjcS b4083 JW5721,"Metallo-beta-lactamase superfamily, Type III sulfatase family"
P32719,alsE yjcU b4085 JW4046,"Ribulose-phosphate 3-epimerase family, AlsE subfamily"
P33013,dacD phsE yeeC b2010 JW5329,Peptidase S11 family
P33015,tsuA yeeE b2013 JW1995,TsuA/YedE (TC 9.B.102) family
P33018,yeiG b2154 JW2141,Esterase D family
P33022,rihB yeiK b2162 JW2149,"IUNH family, RihB subfamily"
P33025,psuG pscG yeiN b2165 JW2152,Pseudouridine-5'-phosphate glycosidase family
P33195,gcvP b2903 JW2871,GcvP family
P33219,yebF b1847 JW1836,YebF family
P33221,purT b1849 JW1838,PurK/PurT family
P33224,aidB b4187 JW5867,Acyl-CoA dehydrogenase family
P33225,torA b0997 JW0982,Prokaryotic molybdopterin-containing oxidoreductase family
P33226,torC b0996 JW0981,TorC/TorY family
P33231,lldP lctP b3603 JW3578,Lactate permease family
P33232,lldD lctD b3605 JW3580,FMN-dependent alpha-hydroxy acid dehydrogenase family
P33371,dusC yohI b2140 JW2128,"Dus family, DusC subfamily"
P33599,nuoC nuoCD nuoD b2286 JW5375,Complex I 30 kDa subunit family; Complex I 49 kDa subunit family
P33602,nuoG b2283 JW2278,Complex I 75 kDa subunit family
P33607,nuoL b2278 JW2273,Complex I subunit 5 family
P33643,rluD sfhB yfiI b2594 JW2576,Pseudouridine synthase RluA family
P33644,yfiH b2593 JW2575,Purine nucleoside phosphorylase YfiH/LACC1 family
P33647,chpB chpBK yjfE b4225 JW4184,PemK/MazF family
P33650,feoB b3409 JW3372,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, FeoB GTPase (TC 9.A.8) family"
P33667,selU ybbB b0503 JW0491,SelU family
P33919,radD yejH yejI yejJ b2184 JW2172,
P33937,napA yojC yojD yojE b2206 JW2194,"Prokaryotic molybdopterin-containing oxidoreductase family, NasA/NapA/NarB subfamily"
P35340,ahpF b0606 JW0599,Class-II pyridine nucleotide-disulfide oxidoreductase family
P36548,amiA yfeE b2435 JW2428,N-acetylmuramoyl-L-alanine amidase 3 family
P36553,hemF b2436 JW2429,Aerobic coproporphyrinogen-III oxidase family
P36566,cmoM smtA ycbD b0921 JW0904,"Class I-like SAM-binding methyltransferase superfamily, CmoM family"
P36649,cueO yacK b0123 JW0119,Multicopper oxidase family
P36655,dsbD cutA2 cycZ dipZ b4136 JW5734,"Thioredoxin family, DsbD subfamily"
P36672,treB b4240 JW4199,
P36675,arfA yhdL b4550 JW3253,Alternative ribosome-rescue factor A family
P36680,zapD yacF b0102 JW0099,ZapD family
P36683,acnB yacI yacJ b0118 JW0114,Aconitase/IPM isomerase family
P36837,dtpB yhiP b3496 JW3463,"Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family, DtpB subfamily"
P36929,rsmB fmu/fmv rrmB sun yhdB b3289 JW3250,"Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
P36937,kdpF b4513 JW0687,KdpF family
P36979,rlmN yfgB b2517 JW2501,"Radical SAM superfamily, RlmN family"
P37001,pagP crcA ybeG b0622 JW0617,Lipid A palmitoyltransferase family
P37002,fluC crcB ybeI b0624 JW0619,Fluoride channel Fluc/FEX (TC 1.A.43) family
P37013,norR ygaA b2709 JW5843,
P37019,clcA eriC yadQ b0155 JW5012,"Chloride channel (TC 2.A.49) family, ClcA subfamily"
P37025,thpR ligT yadP b0147 JW5011,"2H phosphoesterase superfamily, ThpR family"
P37028,btuF yadT b0158 JW0154,BtuF family
P37051,purU tgs ychI b1232 JW1220,PurU family
P37095,pepB yfhI b2523 JW2507,Peptidase M17 family
P37128,nudK yffH b2467 JW2451,"Nudix hydrolase family, NudK subfamily"
P37177,ptsP ygdF ygdO b2829 JW2797,PEP-utilizing enzyme family
P37188,gatB b2093 JW2077,
P37313,dppF dppE b3540 JW3509,ABC transporter superfamily
P37329,modA b0763 JW0746,Bacterial solute-binding protein ModA family
P37330,glcB glc b2976 JW2943,"Malate synthase family, GlcB subfamily"
P37339,lhgD lhgO ygaF b2660 JW2635,L2HGDH family
P37340,mdtK norE norM ydhE b1663 JW1655,"Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family, MdtK subfamily"
P37344,pspF ycjB b1303 JW1296,
P37349,dhaM ycgC b1198 JW5185,PEP-utilizing enzyme family
P37351,rpiB yjcA b4090 JW4051,LacAB/RpiB family
P37595,iaaA spt ybiK b0828 JW0812,Ntn-hydrolase family
P37610,tauD ssiD yaiG b0368 JW0360,TfdA dioxygenase family
P37613,panZ panM yhhK b3459 JW3424,PanZ/PanM family
P37617,zntA yhhO b3469 JW3434,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily"
P37624,rbbA yhiG yhiH b3486 JW5676,ABC-2 integral membrane protein family; ABC transporter superfamily
P37634,rlmJ yhiR b3499 JW3466,RlmJ family
P37637,mdtF yhiV b3514 JW3482,Resistance-nodulation-cell division (RND) (TC 2.A.6) family
P37647,kdgK yhjI b3526 JW5668,Carbohydrate kinase PfkB family
P37653,bcsA yhjO yhjP b3533 JW5665,Glycosyltransferase 2 family
P37666,ghrB tkrA yiaE b3553 JW5656,"D-isomer specific 2-hydroxyacid dehydrogenase family, GhrB subfamily"
P37672,dlgD yiaK b3575 JW3547,"LDH2/MDH2 oxidoreductase family, DlgD subfamily"
P37677,lyx lyxK sgbK xylK yiaP b3580 JW3552,FGGY kinase family
P37685,aldB yiaX b3588 JW3561,Aldehyde dehydrogenase family
P37689,gpmI pgmI yibO b3612 JW3587,BPG-independent phosphoglycerate mutase family
P37690,envC yibP b3613 JW5646,Peptidase M23B family
P37744,rfbA rmlA rmlA1 b2039 JW2024,Glucose-1-phosphate thymidylyltransferase family
P37745,rfbC rmlC b2038 JW2023,"DTDP-4-dehydrorhamnose 3,5-epimerase family"
P37747,glf yefE b2036 JW2021,UDP-galactopyranose/dTDP-fucopyranose mutase family
P37758,narU yddF b1469 JW1464,"Major facilitator superfamily, Nitrate/nitrite porter (TC 2.A.1.8) family"
P37769,kduD ygeC yqeD b2842 JW2810,Short-chain dehydrogenases/reductases (SDR) family
P37773,mpl yjfG b4233 JW4192,"MurCDEF family, Mpl subfamily"
P37774,tcyN yecC b1917 JW1902,ABC transporter superfamily
P37794,chbG ydjC b1733 JW1722,"YdjC deacetylase family, ChbG subfamily"
P37902,gltI ybeJ yzzK b0655 JW5092,Bacterial solute-binding protein 3 family
P38036,ygcB cas3 b2761 JW2731,CRISPR-associated nuclease Cas3-HD family; CRISPR-associated helicase Cas3 family
P38038,cysJ b2764 JW2734,NADPH-dependent sulphite reductase flavoprotein subunit CysJ family; Flavodoxin family; Flavoprotein pyridine nucleotide cytochrome reductase family
P38051,menF yfbA b2265 JW2260,Isochorismate synthase family
P38054,cusA ybdE b0575 JW0564,Resistance-nodulation-cell division (RND) (TC 2.A.6) family
P38135,fadK ydiD b1701 JW5910,ATP-dependent AMP-binding enzyme family
P38489,nfsB dprA nfnB nfsI ntr b0578 JW0567,Nitroreductase family
P38506,ygdG exo xni b2798 JW5446,Xni family
P39099,degQ hhoA b3234 JW3203,Peptidase S1C family
P39172,znuA yebL yzzP b1857 JW5831,Bacterial solute-binding protein 9 family
P39176,erfK yeeG yzzT b1990 JW1968,YkuD family
P39177,uspG ybdQ yzzU b0607 JW0600,Universal stress protein A family
P39180,flu yeeQ yzzX b2000 JW1982,
P39276,dtpC yjdL b4130 JW4091,"Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family"
